date,identifier
2020-01-02,6155
2020-01-03,8940
2020-01-06,1473
2020-01-07,8222
2020-01-08,2344
2020-01-09,6139
2020-01-10,5525
2020-01-13,1235
2020-01-14,1541
2020-01-15,2009
2020-01-16,00688L
2020-01-17,2707
2020-01-20,0055
2020-01-30,6558
2020-01-31,6283
2020-02-03,9938
2020-02-04,2368
2020-02-05,3025
2020-02-06,2481
2020-02-07,1537
2020-02-10,3008
2020-02-11,2820
2020-02-12,9188
2020-02-13,6281
2020-02-14,00638R
2020-02-17,4562
2020-02-18,1512
2020-02-19,2387
2020-02-20,8070
2020-02-21,1605
2020-02-24,2530
2020-02-25,3673
2020-02-26,00711B
2020-02-27,4164
2020-03-02,2605
2020-03-03,3229
2020-03-04,2474
2020-03-05,6672
2020-03-06,3338
2020-03-09,8101
2020-03-10,00738U
2020-03-11,3661
2020-03-12,1909
2020-03-13,6282
2020-03-16,4720
2020-03-17,00708L
2020-03-18,2362
2020-03-19,3406
2020-03-20,3164
2020-03-23,2227
2020-03-24,4562
2020-03-25,1762
2020-03-26,2453
2020-03-27,2705
2020-03-30,1215
2020-03-31,2208
2020-04-01,3057
2020-04-06,1102
2020-04-07,2492
2020-04-08,2855
2020-04-09,00642U
2020-04-10,5285
2020-04-13,2405
2020-04-14,9919
2020-04-15,3090
2020-04-16,6117
2020-04-17,1439
2020-04-20,3669
2020-04-21,9905
2020-04-22,3033
2020-04-23,6477
2020-04-24,6278
2020-04-27,1603
2020-04-28,3029
2020-04-29,4572
2020-04-30,2537
2020-05-04,51
2020-05-05,4148
2020-05-06,9910
2020-05-07,3011
2020-05-08,2618
2020-05-11,1464
2020-05-12,3021
2020-05-13,1714
2020-05-14,00686R
2020-05-15,9939
2020-05-18,3702
2020-05-19,2888
2020-05-20,2383
2020-05-21,00866
2020-05-22,2433
2020-05-25,1905
2020-05-26,2634
2020-05-27,9110
2020-05-28,3703
2020-05-29,3149
2020-06-01,910861
2020-06-02,1453
2020-06-03,5880
2020-06-04,00714
2020-06-05,1225
2020-06-08,1442
2020-06-09,1904
2020-06-10,6153
2020-06-11,2365
2020-06-12,6224
2020-06-15,6183
2020-06-16,1323
2020-06-17,00636K
2020-06-18,2105
2020-06-19,8422
2020-06-22,2509
2020-06-23,3679
2020-06-24,6215
2020-06-26,1902
2020-06-29,2542
2020-06-30,4934
2020-07-01,8473
2020-07-02,2511
2020-07-03,6655
2020-07-06,2417
2020-07-07,00636K
2020-07-08,2539
2020-07-09,2836
2020-07-10,1736
2020-07-13,1734
2020-07-14,1529
2020-07-15,2440
2020-07-16,9906
2020-07-17,3376
2020-07-20,1465
2020-07-21,00665L
2020-07-22,1558
2020-07-23,2439
2020-07-24,1210
2020-07-27,9906
2020-07-28,9944
2020-07-29,00639
2020-07-30,3037
2020-07-31,3416
2020-08-03,1321
2020-08-04,1702
2020-08-05,1731
2020-08-06,1447
2020-08-07,911622
2020-08-10,1762
2020-08-11,9911
2020-08-12,1402
2020-08-13,3588
2020-08-14,4555
2020-08-17,1229
2020-08-18,00664R
2020-08-19,2886
2020-08-20,3229
2020-08-21,2383
2020-08-24,9941
2020-08-25,3054
2020-08-26,6215
2020-08-27,2488
2020-08-28,2704
2020-08-31,8101
2020-09-01,1507
2020-09-02,8249
2020-09-03,6672
2020-09-04,1568
2020-09-07,9955
2020-09-08,6552
2020-09-09,8016
2020-09-10,1305
2020-09-11,1905
2020-09-14,00652
2020-09-15,2823
2020-09-16,00701
2020-09-17,4977
2020-09-18,4526
2020-09-21,4190
2020-09-22,4807
2020-09-23,2371
2020-09-24,6533
2020-09-25,8163
2020-09-28,8467
2020-09-29,2010
2020-09-30,6165
2020-10-05,006205
2020-10-06,8016
2020-10-07,5215
2020-10-08,8016
2020-10-09,1902
2020-10-12,910322
2020-10-13,2374
2020-10-14,2458
2020-10-15,2363
2020-10-16,2355
2020-10-19,1465
2020-10-20,3515
2020-10-21,2478
2020-10-22,2455
2020-10-23,01003T
2020-10-26,1442
2020-10-27,2106
2020-10-28,1321
2020-10-29,9919
2020-10-30,00707R
2020-11-02,00752
2020-11-03,2423
2020-11-04,3130
2020-11-05,9910
2020-11-06,5264
2020-11-09,4119
2020-11-10,3044
2020-11-11,3617
2020-11-12,2417
2020-11-13,2420
2020-11-16,2466
2020-11-17,1435
2020-11-18,2440
2020-11-19,9927
2020-11-20,3031
2020-11-23,2364
2020-11-24,2617
2020-11-25,3008
2020-11-26,5007
2020-11-27,2317
2020-11-30,6504
2020-12-01,00653L
2020-12-02,9905
2020-12-03,1310
2020-12-04,1616
2020-12-07,9928
2020-12-08,1533
2020-12-09,4306
2020-12-10,5906
2020-12-11,3356
2020-12-14,5469
2020-12-15,9933
2020-12-16,6214
2020-12-17,2062
2020-12-18,1323
2020-12-21,4190
2020-12-22,51
2020-12-23,2353
2020-12-24,00730
2020-12-25,01004T
2020-12-28,2609
2020-12-29,1342
2020-12-30,1451
2020-12-31,6558
